Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Software Developer Backend (Java),Aman,"Giza, Egypt",29 days ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 3 Yrs of Exp · Computer Science · Information Technology (IT) · Software Engineering · Computer Engineering · Back-End Development · J2EE · SOA · HTML,https://wuzzuf.net/jobs/p/wMRsHMwdLH3N-Software-Developer-Backend-Java-Aman-Giza-Egypt?o=52&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,Saudi Networkers Services,"Riyadh, Saudi Arabia",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3 - 10 Yrs of Exp Development EE Java · J2EE · Spring · Information Technology (IT) · Computer Science · Software Development Java Development Java EE,https://wuzzuf.net/jobs/p/KtgO9zDVITwA-Java-Developer-Saudi-Networkers-Services-Riyadh-Saudi-Arabia?o=53&l=sp&t=sj&a=java|search-v3|hpb
Android Developer (Java & Kotlin),ARPUPLUS,"Giza, Egypt",1 month ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 2 Yrs of Exp · Computer Science Java · Android · Information Technology (IT) · Mobile Development · Kotlin · JSON · APIs,https://wuzzuf.net/jobs/p/4vJJge29LDSo-Android-Developer-Java-Kotlin-ARPUPLUS-Giza-Egypt?o=54&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer JSF,Confidential,"Cairo, Egypt",1 month ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 7 Yrs of Exp Script · Angular · Engineering · Information Technology (IT) · Computer Science Java JavaScript · JSF · MVC,https://wuzzuf.net/jobs/p/wQPw3I0hoPuV-Senior-Java-Developer-JSF-Cairo-Egypt?o=55&l=sp&t=sj&a=java|search-v3|hpb
Java Architect.,Cegedim,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 10 Yrs of Exp · Architecture · Application Architecture · J2EE · REST · Agile · Scrum · Spring Framework · Maven Configuration,https://wuzzuf.net/jobs/p/sRzT2AjJGNlg-Java-Architect-Cegedim-Cairo-Egypt?o=56&l=sp&t=sj&a=java|search-v3|hpb
Senior Automation Test Engineer - (Java).,Cegedim,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Quality · Engineering - Telecom/Technology · 3+ Yrs of Exp · Agile · API · Computer Science · Information Technology (IT) · QA · Selenium · Software Testing,https://wuzzuf.net/jobs/p/lt0X4dJJYOo3-Senior-Automation-Test-Engineer---Java-Cegedim-Cairo-Egypt?o=57&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,AFKAR Technology,"Cairo, Egypt",1 month ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp · Computer Science · HTML5 · Design · CSS3 · AngularJS · Information Technology (IT) · JavaScript · React,https://wuzzuf.net/jobs/p/Imoj1TB265qN-Senior-Java-Developer-AFKAR-Technology-Cairo-Egypt?o=58&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,FlairsTech,"Maadi, Cairo, Egypt",1 month ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp Script Java JavaScript · jQuery · React · Rest · JSTL · SQL · Communication skills,https://wuzzuf.net/jobs/p/HejaTxeuaI6v-Senior-Java-Developer-FlairsTech-Cairo-Egypt?o=59&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,egabi solutions,"Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp · Computer Science · Development · Information Technology (IT) Java · Banks · Design Patters · Web Development · SQL,https://wuzzuf.net/jobs/p/FUiALmdAFek5-Senior-Java-Developer-egabi-solutions-Cairo-Egypt?o=60&l=sp&t=sj&a=java|search-v3|hpb
Java Lead,FlairsTech,"Maadi, Cairo, Egypt",1 month ago,Full Time - Work From Home,Manager · IT/Software Development · Engineering - Telecom/Technology · 7+ Yrs of Exp Java · Management · Leadership · Software Development · Agile · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/l72PSbtuvWQM-Java-Lead-FlairsTech-Cairo-Egypt?o=61&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,DMS,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Entry Level · IT/Software Development · Engineering - Telecom/Technology · 1 - 2 Yrs of Exp · Computer Science · Computer Engineering Java · ITI · JSF · J2EE · SE · JPA,https://wuzzuf.net/jobs/p/Me0SmitS60J7-Java-Developer-DMS-Cairo-Egypt?o=62&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,DIRAC SYSTEMS,"Heliopolis, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp · Information Technology (IT) · Computer Science Java · Oracle · Programming · Software Development · Spring · SQL,https://wuzzuf.net/jobs/p/UrXPESnLzr6b-Java-Developer-DIRAC-SYSTEMS-Cairo-Egypt?o=63&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer,Advansys ESC,"Nasr City, Cairo, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp · Computer Science Java · OOP · Software Development · Angular · Design · Information Technology (IT) · J2EE,https://wuzzuf.net/jobs/p/b1noEgjfRFY7-Senior-Java-Developer-Advansys-ESC-Cairo-Egypt?o=64&l=sp&t=sj&a=java|search-v3|hpb
